QuoteDate,SymbolId,SymbolName,DealVolume,DealCount,DealAmount,OpenPrice,HighPrice,LowPrice,ClosePrice,PriceChange,PriceChangeRatio,PERatio
2017/9/13,1101,台泥,4557103,1815,154031116,33.85,33.9,33.75,33.75,-0.1,-0.3,17.49
2017/9/13,1301,台塑,2415778,1451,230286119,96,96,95,95,-0.8,-0.84,14.05
2017/9/13,2002,中鋼,5789392,2570,145415057,25.3,25.3,25.05,25.05,-0.25,-0.99,22.37
2017/9/13,2330,台積電,18336541,4598,3998984438,217.5,219,217.5,218,-1,-0.46,16.11
2017/9/14,1101,台泥,5554074,1829,187387084,33.75,33.9,33.65,33.7,-0.05,-0.15,17.46
2017/9/14,1301,台塑,4004696,1662,378512357,94.2,94.9,94.2,94.6,-0.4,-0.42,13.99
2017/9/14,2002,中鋼,6999423,2848,175225075,25,25.1,25,25,-0.05,-0.2,22.32
2017/9/14,2330,台積電,21508567,6314,4701852606,218.5,219,217.5,218.5,0.5,0.23,16.15
2017/9/15,1101,台泥,10337792,1696,349125797,33.6,33.85,33.6,33.8,0.1,0.3,17.51
2017/9/15,1301,台塑,10587177,1640,1008804922,94.6,95.5,94.5,95.4,0.8,0.85,14.11
2017/9/15,2002,中鋼,33538848,6834,831275980,24.95,24.95,24.75,24.75,-0.25,-1,22.1
2017/9/15,2330,台積電,48901103,5253,10668230939,218.5,219,217,218.5,0,0,16.15
2017/9/18,1101,台泥,12690100,3778,433734501,34,34.5,33.85,34.3,0.5,1.48,17.77
2017/9/18,1301,台塑,3681982,1584,352020943,95.4,96,95.2,96,0.6,0.63,14.2
2017/9/18,2002,中鋼,11174742,4568,278790450,24.75,25.1,24.75,25.05,0.3,1.21,22.37
2017/9/18,2330,台積電,17812705,6714,3905801892,219,220,218,219.5,1,0.46,16.22
2017/9/19,1101,台泥,13942921,3593,472675701,34.05,34.15,33.8,33.95,-0.35,-1.02,17.59
2017/9/19,1301,台塑,3297716,1799,313163247,95.6,95.8,94.6,94.8,-1.2,-1.25,14.02
2017/9/19,2002,中鋼,8789063,3964,218640649,25,25,24.85,24.85,-0.2,-0.8,22.19
2017/9/19,2330,台積電,26255575,11072,5742129525,221.5,221.5,220,221.5,2,0.91,16.37
2017/9/20,1101,台泥,10624922,1973,361179340,33.9,34.1,33.85,33.9,-0.05,-0.15,17.56
2017/9/20,1301,台塑,3456165,1485,324581610,93.9,94.5,93.6,94.1,-0.7,-0.74,13.92
2017/9/20,2002,中鋼,26784640,9248,659038129,24.85,24.85,24.5,24.55,-0.3,-1.21,21.92
2017/9/20,2330,台積電,23434237,9347,5179958449,221,222,220,221.5,0,0,16.37
2017/9/21,1101,台泥,6009712,1405,203384631,33.85,33.9,33.75,33.8,-0.1,-0.29,17.51
2017/9/21,1301,台塑,2547209,1357,238788227,94,94.2,93.4,93.8,-0.3,-0.32,13.88
2017/9/21,2002,中鋼,12273612,4348,301401526,24.5,24.75,24.35,24.6,0.05,0.2,21.96
2017/9/21,2330,台積電,18645565,6604,4125047365,221,223,220,221,-0.5,-0.23,16.33
2017/9/22,1101,台泥,6641307,1583,224993742,33.85,33.95,33.8,33.9,0.1,0.3,17.56
2017/9/22,1301,台塑,2213404,1343,206247772,93.6,93.8,93,93,-0.8,-0.85,13.76
2017/9/22,2002,中鋼,20481801,6567,498495609,24.4,24.45,24.25,24.4,-0.2,-0.81,21.79
2017/9/22,2330,台積電,22456370,7431,4930530220,221.5,222,218.5,218.5,-2.5,-1.13,16.15
2017/9/25,1101,台泥,6548901,1894,222476334,33.9,34.1,33.85,34.05,0.15,0.44,17.64
2017/9/25,1301,台塑,3619626,1661,334722949,93.5,93.6,92.2,92.3,-0.7,-0.75,13.65
2017/9/25,2002,中鋼,12902922,5672,313053485,24.4,24.45,24.2,24.25,-0.15,-0.61,21.65
2017/9/25,2330,台積電,17458286,6250,3797761662,217.5,218.5,217,217,-1.5,-0.69,16.04
2017/9/26,1101,台泥,7144222,1165,242832611,33.9,34.05,33.9,34,-0.05,-0.15,17.62
2017/9/26,1301,台塑,2701160,1566,250551185,92.3,93,92.1,92.8,0.5,0.54,13.73
2017/9/26,2002,中鋼,10076307,3495,244244628,24.2,24.35,24.15,24.25,0,0,21.65
2017/9/26,2330,台積電,25003901,8768,5392244669,217.5,218,214,214,-3,-1.38,15.82
2017/9/27,1101,台泥,4358892,1076,148236418,33.9,34.1,33.9,33.95,-0.05,-0.15,17.59
2017/9/27,1301,台塑,1814796,1104,168817914,93,93.6,92.7,92.7,-0.1,-0.11,13.71
2017/9/27,2002,中鋼,9034893,2942,219363877,24.25,24.35,24.2,24.25,0,0,21.65
2017/9/27,2330,台積電,24794510,7326,5353580844,217.5,217.5,215,215,1,0.47,15.89
2017/9/28,1101,台泥,7011313,1849,237239221,33.9,33.95,33.65,33.8,-0.15,-0.44,17.51
2017/9/28,1301,台塑,5054708,2003,464151264,92.4,92.4,91.2,91.5,-1.2,-1.29,13.54
2017/9/28,2002,中鋼,12385903,4017,301096449,24.25,24.45,24.2,24.35,0.1,0.41,21.74
2017/9/28,2330,台積電,31616062,7749,6788534834,215,216,213.5,214,-1,-0.47,15.82
2017/9/29,1101,台泥,4506319,1454,152333218,33.8,33.85,33.7,33.8,0,0,17.51
2017/9/29,1301,台塑,4647750,1757,426531476,91,92.2,91,91.8,0.3,0.33,13.58
2017/9/29,2002,中鋼,11253180,3077,274193234,24.35,24.45,24.3,24.35,0,0,21.74
2017/9/29,2330,台積電,23954708,7507,5184362760,216,217.5,215.5,216.5,2.5,1.17,16
2017/9/30,1101,台泥,761927,396,25770226,33.8,33.85,33.75,33.8,0,0,17.51
2017/9/30,1301,台塑,1191990,592,109474950,92,92.4,91.7,91.8,0,0,13.58
2017/9/30,2002,中鋼,1510358,910,36864753,24.4,24.45,24.35,24.45,0.1,0.41,21.83
2017/9/30,2330,台積電,4254045,2446,924823765,218,218.5,216.5,216.5,0,0,16
2017/10/2,1101,台泥,3803348,1264,128252817,33.8,33.85,33.65,33.65,-0.15,-0.44,17.44
2017/10/2,1301,台塑,3302359,2042,303142527,92.2,92.4,91.6,91.8,0,0,13.58
2017/10/2,2002,中鋼,5432410,2252,133030580,24.45,24.55,24.4,24.5,0.05,0.2,21.88
2017/10/2,2330,台積電,28360551,10605,6233064680,219.5,220.5,218.5,220.5,4,1.85,16.3
